Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV2770,10,,,,,0.000000E+00,0.9553,10,0,338,338,,,<
TV2772,7,,,,,0.000000E+00,0.4637,7,0,311,311,,,<
TV2773,9,,,,,0.000000E+00,0.5076,10,0,331,331,,,<
TV2774,9,,,,,0.000000E+00,0.7546,10,0,331,331,,,<
TV2775,9,,,,,0.000000E+00,0.9222,9,0,336,336,,,<
TV2780,10,,,,,0.000000E+00,0.7406,10,0,338,338,,,<
TV2781,10,,,,,0.000000E+00,0.9632,10,0,338,338,,,<
TV2782,8,TV2775,9,TV2757,10,1.388551E+01,0.3180,8,1,316,316,4.000838E+00,7.196610E+00,<
TV2784,9,,,,,0.000000E+00,0.4950,10,0,331,331,,,<
TV2788,10,TV2780,10,TV2774,9,1.324685E+01,0.3917,10,3,338,338,5.527856E+00,6.053832E+00,<
TV2789,9,,,,,0.000000E+00,0.9235,9,0,330,330,,,<
TV2790,10,,,,,0.000000E+00,0.9904,10,0,338,338,,,<
TV2792,10,,,,,0.000000E+00,0.9444,10,0,338,338,,,<
TV2795,10,,,,,0.000000E+00,0.7441,10,0,338,338,,,<
TV2796,6,,,,,0.000000E+00,0.8486,6,0,240,240,,,<
TV2797,10,,,,,0.000000E+00,0.9920,10,0,338,338,,,<
TV2798,9,,,,,0.000000E+00,0.8958,10,0,335,335,,,<
TV2804,10,,,,,0.000000E+00,0.9969,10,0,338,338,,,<
TV2808,9,,,,,0.000000E+00,0.8723,9,0,335,335,,,<
TV2810,10,,,,,0.000000E+00,0.5367,10,0,338,338,,,<
TV2812,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV2813,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3001,10,,,,,0.000000E+00,0.7082,10,0,338,338,,,<
TV3002,10,,,,,0.000000E+00,0.9966,10,0,338,338,,,<
TV3003,9,,,,,0.000000E+00,0.9503,9,0,330,330,,,<
TV3005,7,,,,,0.000000E+00,0.5931,7,0,311,311,,,<
TV3006,10,,,,,0.000000E+00,0.9967,10,0,338,338,,,<
TV3007,10,,,,,0.000000E+00,0.9861,10,0,338,338,,,<
TV3008,10,TV3010,10,,,1.496291E+01,0.7192,10,0,338,338,1.496291E+01,
TV3009,10,,,,,0.000000E+00,0.9928,10,0,338,338,,,<
TV3010,10,TV3020,9,TV3017,10,2.284313E+01,0.4191,10,1,338,338,1.261074E+01,8.649745E+00
TV3011,10,TV3231,10,,,7.044094E+00,0.3924,10,1,338,338,7.044094E+00,,<
TV3012,9,,,,,0.000000E+00,0.7081,9,0,331,331,,,<
TV3013,10,,,,,0.000000E+00,0.9472,10,0,338,338,,,<
TV3014,10,,,,,0.000000E+00,0.9987,10,0,338,338,,,<
TV3015,10,,,,,0.000000E+00,0.9984,10,0,338,338,,,<
TV3016,10,,,,,0.000000E+00,0.7509,10,0,338,338,,,<
TV3017,10,TV3001,10,TV2271,8,1.939803E+01,0.6348,10,1,338,338,6.623091E+00,9.981074E+00,<
TV3018,9,,,,,0.000000E+00,0.9988,10,0,331,331,,,<
TV3019,10,,,,,0.000000E+00,0.7375,10,0,338,338,,,<
TV3020,9,,,,,0.000000E+00,0.3910,9,0,332,332,,
TV3021,10,,,,,0.000000E+00,0.6943,10,0,338,338,,,<
TV3022,10,,,,,0.000000E+00,0.5624,10,0,338,338,,,<
TV3023,10,,,,,0.000000E+00,0.9569,10,0,338,338,,,<
TV3024,10,,,,,0.000000E+00,0.9703,10,0,338,338,,,<
TV3025,9,,,,,0.000000E+00,0.5153,9,0,332,332,,,<
TV3026,9,TV3036,10,TV3030,10,2.901673E+01,0.7457,10,0,336,336,1.072504E+01,1.568046E+01,<
TV3027,10,TV3030,10,,,1.158432E+01,0.3408,10,0,338,338,1.158432E+01,,<
TV3028,10,,,,,0.000000E+00,0.9925,10,0,338,338,,,<
TV3029,10,TV3026,9,,,1.487245E+01,0.8533,10,0,338,338,1.487245E+01,,<
TV3030,10,,,,,0.000000E+00,0.4591,10,0,338,338,,,<
TV3031,8,,,,,0.000000E+00,0.3721,8,0,316,316,,,<
TV3032,9,TV5051,6,,,1.065510E+01,0.7139,9,0,335,335,1.065510E+01,,<
TV3033,9,TV3034,7,,,1.493346E+01,0.6548,10,0,332,332,1.493346E+01,,<
TV3034,7,TV3033,9,,,1.493346E+01,0.3303,10,0,311,311,1.493346E+01,
TV3035,10,,,,,0.000000E+00,0.9396,10,0,338,338,,,<
TV3036,10,,,,,0.000000E+00,0.7381,10,0,338,338,,,<
